G3) Research Approaches Not Used
Basic/Foundational Education Research
Basic/Foundational Education Research
""
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
Basic/Foundational Education Research
""
Disciplinary Education Research and Development
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
Small-Scale Implementation
""
Disciplinary Education Research and Development
""
Basic/Foundational Education Research
""
Basic/Foundational Education Research
""
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
Small-Scale Implementation
""
""
Disciplinary Education Research and Development
Building Capacity of People or Organizations
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
""
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
""
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
""
Basic/Foundational Education Research
""
""
""
""
Small-Scale Implementation
""
""
""
""
Basic/Foundational Education Research
""
""
""
""
""
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
""
""
""
""
Basic/Foundational Education Research
""
""
""
""
""
""
""
""
""
""
""
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
""
""
""
Building Capacity of People or Organizations
Building Capacity of People or Organizations
Disciplinary Education Research and Development
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
""
Basic/Foundational Education Research
""
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Disciplinary Education Research and Development
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
""
""
""
Basic/Foundational Education Research
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Small-Scale Implementation
""
""
""
""
""
""
""
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
Building Capacity of People or Organizations
Building Capacity of People or Organizations
""
Small-Scale Implementation
Basic/Foundational Education Research
""
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
""
""
""
""
Basic/Foundational Education Research
""
Basic/Foundational Education Research
Basic/Foundational Education Research
""
Disciplinary Education Research and Development
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
Disciplinary Education Research and Development
""
""
Basic/Foundational Education Research
Basic/Foundational Education Research
""
""
""
""
Basic/Foundational Education Research
""
""
""
""
""
""
""
""
Disciplinary Education Research and Development
Basic/Foundational Education Research
Disciplinary Education Research and Development
""
""
""
""
""
