I7) Post-secondary Instructors Targeted? Specify.
Post-secondary instructors
""
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
""
""
""
Post-secondary instructors
""
""
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
""
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
""
""
Post-secondary instructors
Post-secondary instructors
""
Post-secondary instructors
""
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
""
Post-secondary instructors
""
""
Post-secondary instructors
""
Post-secondary instructors
""
""
""
Post-secondary instructors
Post-secondary instructors
""
""
""
""
""
""
""
Post-secondary instructors
""
""
""
""
Post-secondary instructors
""
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
""
""
Post-secondary instructors
""
""
Post-secondary instructors
""
""
""
""
""
Post-secondary instructors
Post-secondary instructors
""
""
""
""
Post-secondary instructors
""
""
""
Post-secondary instructors
""
""
Post-secondary instructors
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Post-secondary instructors
""
""
""
""
""
""
Post-secondary instructors
""
""
Post-secondary instructors
""
""
""
""
""
Post-secondary instructors
""
""
""
""
""
""
""
""
""
""
""
""
""
Post-secondary instructors
""
""
""
""
""
""
""
""
""
""
""
""
""
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
""
""
Post-secondary instructors
Post-secondary instructors
Post-secondary instructors
""
Post-secondary instructors
""
""
""
""
Post-secondary instructors
""
""
""
Post-secondary instructors
""
""
""
""
Post-secondary instructors
Post-secondary instructors
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Post-secondary instructors
""
""
""
""
""
""
""
""
""
Post-secondary instructors
""
""
""
""
""
Post-secondary instructors
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Post-secondary instructors
""
""
Post-secondary instructors
""
""
""
Post-secondary instructors
""
""
""
""
""
""
""
""
""
""
""
""
Post-secondary instructors
""
""
""
Post-secondary instructors
""
""
""
""
