Q) Legislation Required to Shift Focus?
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
Don't know
No
No
Yes
No
No
No
Yes
No
No
No
No
No
No
No
No
No
Yes
No
No
Don't know
Don't know
No
No
No
No
No
Don't know
No
Don't know
No
No
No
No
No
No
No
No
No
Yes
No
No
No
No
No
No
No
Don't know
No
No
No
No
No
No
No
No
No
No
Yes
No
No
No
No
Don't know
No
Don't know
No

Yes
Yes
Yes
Yes
Yes
Yes
No
No
No
No
No
No
No
Yes
Yes
Yes
No
No
Don't know
Don't know
Don't know
No
No
No
No
No
No
Yes
Yes
No
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Don't know
Yes
No
No
No
Yes
Yes
Yes
Yes
Yes
Yes
Yes
No
Yes
No
Yes
Yes
Yes
No
Don't know
Yes
No
Yes
Yes
Yes
No
No
Yes
Yes
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
No
Don't know
No
No
No
No
Yes
No
No
No
No
No
No
No
Yes
No
Yes
No
No
Yes
No
Yes
No
Yes
Yes
Yes
Yes
No
Yes
Yes
Yes
Yes
No
No
Yes

Yes
No
Don't know
Yes
Yes
Yes
Yes
Yes
Yes
Yes
Don't know
Yes
Yes
Yes
Yes
Yes

Don't know
No
Yes
Yes
Don't know
No
No
Don't know
Don't know
