Year
2002
2006
2007
2002
1999
2006
1995
1952
1997
1999
2004
2008
1993
2010
2009
1983
2001
2002
1987
2002
2002
2006
2004
2003
2004
2008
2007
1983
2003
2002

1998
2001
1998
1991
1994
1997
2008
2002
2008
2010
2007
2007
2008
1995
2006
2001
2001
2004
2003
1997
1993
2009
1989
2007
1995
2010

2006
2009
2006
2001
2003
1998
2002
2006
2000
2008
1992
2009
2009
1980
2010
2010
1999
2008
1961
2002
2003
2003
1997
1983
2003
2008
2008
2010
2010
2008
2009
2008
1990
1994
2009
1986
2006
1994
1958
2005
2010
1982
2007
2002
1976
1993
1999
2006
2005
2002
1985
1989

2006
1982
1986
2004
1995
1998
1992
1992
2009
2005


1988
1998
2001
1978
1995
2010
1998
1993
1985
1999
1984
1991
1998
2004
2002
2010
1991
2001
2004
1999
2003
2005
2007
2002
2010
2008
2008
1988
1980
2008
1995
1972
1999
1990
2007
2005
2008
2000
1993
2002
1999
1990
2009
1999
2007
1994
2010
2008

1975
1975
1977
1999
2005
2001
2000
1993
1993
2001
1991
1994
1999
2009
2006
2001
2008
2008
2008
2008
2000

1994

1995
1997
1991
1997
2005
1992
2008
2006
2003
1986
1990
2004
2007
1914
1972
2001
1968
2009
2009
2010
2005
1994

2010
2009
1983
1976
2000
2008
1997
1986
2005
1993
2005
2001
1987
1991
2006
1980
1990
2006
2001
1972
1987
2007
2007
2005

2007
2003
1998
1993
2006
2001

2006.00
