I3) In-service STEM Teachers Targeted? Specify.
In-service
""
""
In-service
In-service
In-service
In-service
""
""
In-service
""
""
In-service
In-service
In-service
In-service
""
In-service
""
In-service
""
In-service
""
""
""
In-service
In-service
In-service
""
In-service
""
""
""
""
""
""
In-service
In-service
In-service
""
In-service
""
""
""
In-service
""
""
""
In-service
In-service
In-service
""
""
In-service
""
""
In-service
In-service
""
In-service
In-service
In-service
In-service
""
In-service
In-service
In-service
In-service
""
In-service
""
""
In-service
""
""
In-service
In-service
""
In-service
In-service
""
""
In-service
In-service
In-service
In-service
""
In-service
Middle (6-8)
""
""
""
""
""
""
""
In-service
""
""
""
""
""
""
""
""
In-service
""
""
In-service
""
""
""
""
""
""
""
""
In-service
In-service
""
""
""
""
""
""
""
""
""
In-service
In-service
""
""
""
""
""
In-service
In-service
""
""
""
""
""
""
""
""
""
In-service
In-service
In-service
In-service
""
""
""
""
""
In-service
""
In-service
In-service
""
In-service
""
In-service
In-service
""
""
In-service
""
""
""
In-service
""
""
""
""
""
""
""
""
""
""
""
In-service
""
""
""
""
""
""
In-service
""
""
""
""
""
""
""
In-service
In-service
""
""
In-service
""
""
""
In-service
""
In-service
In-service
In-service
In-service
""
In-service
""
""
""
""
In-service
""
""
In-service
""
In-service
In-service
""
""
""
In-service
""
""
In-service
""
""
""
""
""
In-service
""
""
""
""
""
""
""
In-service
In-service
""
""
In-service
""
""
""
""
