S) Investment Partnerships
Required
Encouraged
Encouraged
Encouraged
Encouraged
Encouraged
Required
No
No
Required
Required
No
Encouraged
Encouraged
Required
No
Required
Mixed
Required
Mixed
Encouraged
No
No
No
No
No
Encouraged
No
Encouraged
Encouraged
Mixed
No
No
Required
Encouraged
No
No
Mixed
Encouraged
Encouraged
Encouraged
Encouraged
Encouraged
Encouraged
Mixed
Encouraged
Required
Encouraged
Encouraged
Encouraged
Encouraged
Encouraged
No
No
No
Encouraged
No
Encouraged
Encouraged
No
Required
Required
No
Mixed
Encouraged
Encouraged
Encouraged
Encouraged
Mixed
Encouraged
No
Required
Required
Encouraged
No
Required
Required
Required
Encouraged
No
Encouraged
Encouraged
Encouraged
Encouraged
Encouraged
Encouraged
Mixed
Encouraged
No
No
No
No
No
No
No
No
Required
Required
Required
Required
No
Required
No
Encouraged
Encouraged
No
No
Encouraged
Encouraged
Encouraged
Mixed
Encouraged
Encouraged
No
Encouraged
No
Required
No
No
Encouraged
Encouraged
Encouraged
No
Encouraged
Mixed
Encouraged
Encouraged
No
Mixed
Encouraged
No
Encouraged
Encouraged
Encouraged
Yes
Encouraged
No
No
Encouraged
No
